XLSMiesiac;Zwolennicy;Przeciwnicy;Obojetni;Premier
XII 2020;33;42;20;Mateusz Morawiecki
I 2021;33;40;22;Mateusz Morawiecki
II 2021;32;43;22;Mateusz Morawiecki
III 2021;32;44;21;Mateusz Morawiecki
IV 2021;33;40;23;Mateusz Morawiecki
V 2021;34;40;21;Mateusz Morawiecki
VI 2021;34;35;27;Mateusz Morawiecki
VII 2021;34;38;23;Mateusz Morawiecki
VIII 2021;32;37;25;Mateusz Morawiecki
IX 2021;34;38;24;Mateusz Morawiecki
X 2021;33;38;25;Mateusz Morawiecki
XI 2021;29;41;24;Mateusz Morawiecki
XII 2021;30;43;23;Mateusz Morawiecki
I 2022;30;44;22;Mateusz Morawiecki
II 2022;29;42;25;Mateusz Morawiecki
III 2022;33;40;24;Mateusz Morawiecki
IV 2022;31;38;28;Mateusz Morawiecki
V 2022;34;36;26;Mateusz Morawiecki
VI 2022;33;40;23;Mateusz Morawiecki
VII 2022;32;39;25;Mateusz Morawiecki
VIII 2022;29;46;23;Mateusz Morawiecki
IX 2022;28;46;23;Mateusz Morawiecki
X 2022;26;47;23;Mateusz Morawiecki
XI 2022;33;44;20;Mateusz Morawiecki
XII 2022;28;46;23;Mateusz Morawiecki
I 2023;29;44;24;Mateusz Morawiecki
II 2023;34;41;23;Mateusz Morawiecki
III 2023;34;42;21;Mateusz Morawiecki
IV 2023;30;42;24;Mateusz Morawiecki
V 2023;30;46;21;Mateusz Morawiecki
VI 2023;30;47;21;Mateusz Morawiecki
VII 2023;30;47;20;Mateusz Morawiecki
VIII 2023;34;37;25;Mateusz Morawiecki
IX 2023;32;42;23;Mateusz Morawiecki
X 2023;33;44;19;Mateusz Morawiecki
XI 2023;32;44;21;Mateusz Morawiecki
I 2024;39;39;19;Donald Tusk
II 2024;41;34;22;Donald Tusk
III 2024;37;38;22;Donald Tusk
IV 2024;35;37;25;Donald Tusk
V 2024;37;37;24;Donald Tusk
VI 2024;36;36;26;Donald Tusk
VII 2024;33;40;24;Donald Tusk
VIII 2024;32;40;25;Donald Tusk
IX 2024;35;38;23;Donald Tusk
X 2024;34;39;24;Donald Tusk
XI 2024;34;40;24;Donald Tusk
XII 2024;32;40;24;Donald Tusk
I 2025;31;43;23;Donald Tusk
II 2025;36;39;21;Donald Tusk
III 2025;36;38;23;Donald Tusk
IV 2025;34;40;22;Donald Tusk
V 2025;32;44;20;Donald Tusk
